AirportCode,Cluster
AAF,3
ABE,2
ABI,1
ABQ,1
ABR,0
ABY,3
ACB,0
ACK,2
ACT,3
ACV,2
ACY,2
ADG,0
ADT,3
ADM,3
ADS,3
ADW,2
AEL,0
AEX,2
AFF,1
WSG,2
AFN,2
AFO,0
AFW,3
AGC,2
AGS,2
AHN,2
AIA,1
AID,3
AIK,2
AIO,1
AIZ,3
AKO,1
AKC,2
ALB,2
ALI,3
ALM,1
ALN,3
ALO,3
ALS,1
ALW,2
ALX,2
AMA,1
AMN,0
AMW,3
ANB,2
AND,2
SSM,0
SLT,1
ANQ,1
ANW,0
AOH,2
AOO,2
APA,1
APC,3
APF,3
APG,3
APN,0
ARA,2
ARB,0
ARG,3
WHT,3
AUZ,3
ART,2
ARV,0
BFT,3
ASE,0
SPZ,1
ASH,2
ASL,1
AST,2
ASX,0
ATL,2
ATS,1
ATW,0
ATY,0
AUG,2
AUM,0
AUN,1
AUO,2
AUS,3
AUW,0
AVL,2
AVP,2
AWM,2
AXG,1
AXN,0
AXS,3
AXX,0
AYS,3
AZO,0
BAB,3
BAD,3
BAF,2
CLU,3
BBB,0
BBD,1
BKG,3
BTN,3
BBW,3
BCB,2
BCE,1
BCT,3
BDE,0
BDG,1
ILL,1
BDL,2
BDR,2
WBU,1
BED,2
BEH,0
BFD,0
BFF,1
BFI,2
BFL,3
BFM,2
BGD,1
BGE,1
BGM,0
BGR,2
BHB,2
BHM,2
BID,2
BIE,3
BIF,1
BIH,1
BIL,0
BIS,0
BIX,3
BJC,1
BJI,0
BJJ,2
BKD,3
BKE,0
BFK,1
BKL,0
BKW,2
BKX,0
BLF,2
BLH,1
BLI,2
BLM,2
BLU,0
BLV,2
BMC,1
BMG,2
BMI,2
BML,0
BMT,3
BNA,2
BNL,3
BNO,1
BNW,1
BOI,1
BOK,2
BOS,2
BOW,3
BPI,1
WMH,2
BPT,2
BQK,3
BRD,0
BRL,3
BRO,3
BTL,0
BTM,0
BTP,0
BTR,2
BTV,0
BUF,0
BUR,1
BFP,3
BVO,3
MVW,1
BLD,1
BVX,3
BVY,2
BWD,1
BWG,2
BWI,2
WAH,1
BXA,1
BXK,1
BYG,0
BYH,3
BYI,0
BYS,1
BBC,3
BZN,0
CAD,0
CAE,2
CIG,0
CAK,0
CAO,1
CAR,0
CBE,3
CBF,1
CBK,1
CBM,3
CCR,3
CCY,1
LLX,0
CDC,1
CDH,2
CDN,3
CDR,1
CDS,3
CDW,2
CEC,2
CEF,2
CEU,2
CEW,2
CEY,1
CEZ,1
CFD,3
TZC,0
CFV,3
CGE,1
