code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
ZZV,KZZV,Zanesville,39.933334,-82.01667,900,,America/New_York,ZZV,US,Zanesville,Ohio,Muskingum County,AP
ZPH,KZPH,Zephyrhills,28.2265942,-82.15837574200110,90,,America/New_York,ZPH,US,Zephyrhills,Florida,Pasco County,AP
YNG,KYNG,Youngstown,41.26073745,-80.67497084511020,1192,,America/New_York,YNG,US,Howland Center,Ohio,Trumbull County,AP
YKN,KYKN,Chan Gurney,42.916943,-97.38639,1306,http://www.cityofyankton.org/publicworks/airport/,America/Chicago,YKN,US,Yankton,South Dakota,Yankton County,AP
YKM,KYKM,Yakima Air Terminal,46.566810150000000,-120.53679819122000,1099,,America/Los_Angeles,YKM,US,Yakima,Washington,Yakima County,AP
YIP,KYIP,Willow Run Airport,42.23492795,-83.52605021747000,716,,America/Detroit,DTT,US,Belleville,Michigan,Wayne County,AP
XWA,KXWA,Williston Basin International Airport,48.260548400000000,-103.74677072876800,2344,http://www.xwaproject.com/,America/Toronto,XWA,CA,Williston,North Dakota,Williams County,AP
XNA,KXNA,Northwest Arkansas Regional,36.275257,-94.29711,1253,http://www.flyxna.com/,America/Chicago,FYV,US,Cave Springs,Arkansas,Benton County,AP
KXA,KXA,Kasaan SPB,55.537777,-132.39583,0,,America/Sitka,KXA,US,,,,AP
WYS,KWYS,Yellowstone Airport,44.6889409,-111.11688394311100,6646,,America/Denver,WYS,US,West Yellowstone,Montana,Gallatin County,AP
WWR,KWWR,West Woodward,36.436084550000000,-99.52612982581890,2181,http://www.cityofwoodward.com/airport-89/,America/Chicago,WWR,US,Woodward,Oklahoma,Woodward County,AP
WWD,KWWD,Cape May County,39.0080873,-74.9080999,29,,America/New_York,WWD,US,Erma,New Jersey,Cape May County,AP
WVL,KWVL,Robert Lafleur,44.533188250000000,-69.67663290752360,291,,America/New_York,WVL,US,Oakland,Maine,Kennebec County,AP
WVI,KWVI,Watsonville,36.933656400000000,-121.79168201412600,167,,America/Los_Angeles,WVI,US,Watsonville,California,Santa Cruz County,AP
WST,KWST,Westerly State,41.34881540000000,-71.80321330152230,95,,America/New_York,WST,US,Westerly,Rhode Island,Washington County,AP
WSD,KWSD,Condron AAF,32.38333,-106.48333,4291,,America/Denver,WSD,US,White Sands,New Mexico,Dona Ana County,AP
WRL,KWRL,Worland Municipalcipal,43.9675,-107.95306,4084,,America/Denver,WRL,US,Worland,Wyoming,Washakie County,AP
WRI,KWRI,Mc Guire AFB,40.155308,-74.65017,78,http://www.mcguire.af.mil/,America/New_York,WRI,US,Groveville,New Jersey,Mercer County,AP
WRB,KWRB,Robins AFB,32.695557,-83.64778,337,http://www.robins.af.mil/,America/New_York,MCN,US,Centerville,Georgia,Houston County,AP
KWP,KWP,Village SPB,57.766945,-153.55,0,,America/Anchorage,KWP,US,,,,AP
WMC,KWMC,Winnemucca,40.966667,-117.73333,4320,,America/Los_Angeles,WMC,US,Winnemucca,Nevada,Humboldt County,AP
WLW,KWLW,Glenn County,39.88333,-122.35,505,,America/Los_Angeles,WLW,US,Rancho Tehama Reserve,California,Tehama County,AP
WLD,KWLD,Arkansas City,37.166943,-97.05028,1158,,America/Chicago,WLD,US,Winfield,Kansas,Cowley County,AP
WJF,KWJF,William J Fox,34.7,-118.13333,2339,,America/Los_Angeles,WJF,US,Lancaster,California,Los Angeles County,AP
WHP,KWHP,Whiteman,34.05,-118.25,387,,America/Los_Angeles,LAX,US,Los Angeles,California,Los Angeles County,AP
